mission,direction,robinson,fontenay_aux_roses,sceaux,saint_remy_les_chevreuse,courcelle_sur_yvette,gif_sur_yvette,la_hacquiniere,bures_sur_yvette,orsay_ville,le_guichet,lozere,palaiseau_villebon,palaiseau,massy_palaiseau,massy_verrieres,les_baconnets,fontaine_michalon,antony,la_croix_de_berny,parc_de_sceaux,bourg_la_reine,bagneux,arcueil_cachan,laplace,gentilly,cite_universitaire,denfert_rochereau,port_royal,luxembourg,saint_michel_notre_dame,chatelet_les_halles,gare_du_nord,la_plaine_stade_de_france,la_courneuve_aubervilliers,le_bourget,drancy,le_blanc_mesnil,aulnay_sous_bois,sevran_beaudottes,villepinte,parc_des_expositions,aeroport_cdg_1_rer,aeroport_charles_de_gaulle_2,sevran_livry,vert_galant,villeparisis_mitry_le_neuf,mitry_claye,ecart_max
ELFE61,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ELFE69,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,2.0
ELFE77,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0
ELFE85,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0
ELFE93,Nord,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0
ELOI01,Nord,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
EMIR65,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,2.0
EMIR73,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,2.0
EMIR81,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0
EMIR89,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0
EMIR97,Nord,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0
EMMY05,Nord,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
EMMY13,Nord,,,,,,,,,,,0.0,0.0,0.0,-1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0
GUAD79,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,2.0
GUAD87,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0
GUIZ03,Nord,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0
IVAN67,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,3.0
IVAN75,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,2.0
IVAN83,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,2.0
IVAN91,Nord,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,3.0,3.0,3.0,,3.0
IVAN99,Nord,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,,2.0
IVIS07,Nord,,,,,,,,,,,,,,-1.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0
IVIS15,Nord,,,,,,,,-1.0,-1.0,-1.0,,,-1.0,-1.0,,,,-1.0,-1.0,,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0
KLAC02,Sud,,,,,,,,,,,,,,,3.0,2.0,,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,,,2.0,,,,,,2.0,,,,3.0
KLEE60,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLEE76,Sud,,,,,,,,,,,,,,,5.0,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,5.0
KLEE84,Sud,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,2.0
KLEE92,Sud,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0
LORD08,Sud,,,,,,,,,,0.0,0.0,0.0,0.0,-1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0
LORE42,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LORE58,Sud,,,,,,,,,,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
LORE66,Sud,,,,,,,,,,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0
LORE74,Sud,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,4.0
LORE82,Sud,,,,,,,,,,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,,,,,,,,,,,,,,,,,3.0
LORE90,Sud,,,,,,,,,,0.0,0.0,0.0,0.0,-1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0,,,,,,,,,,,,,,,1.0
LORE98,Sud,,,,,,,,,,0.0,0.0,0.0,0.0,-1.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,0.0
PAGE06,Sud,,,,,0.0,0.0,0.0,0.0,-1.0,0.0,,,,-2.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,,,0.0
PAUL48,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAUL56,Sud,,,,,4.0,4.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
PAUL64,Sud,,,,,7.0,7.0,7.0,7.0,6.0,6.0,,,,5.0,,,,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0
PAUL72,Sud,,,,,5.0,4.0,5.0,5.0,4.0,4.0,,,,3.0,,,,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,5.0
PAUL80,Sud,,,,,5.0,5.0,5.0,5.0,4.0,4.0,,,,3.0,,,,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,5.0
PAUL88,Sud,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,-1.0,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,2.0,,,,,,,,,,,,,,,2.0
PAUL96,Sud,,,,,0.0,0.0,0.0,0.0,-1.0,0.0,,,,-2.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,1.0
STIN62,Sud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STIN70,Sud,,5.0,5.0,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0
STIN78,Sud,,5.0,5.0,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,5.0
STIN86,Sud,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,3.0,,,,,,,,,,,,,,,,3.0
STIN94,Sud,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0
STRI04,Sud,,0.0,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0
