mission,direction,heure_th_sceaux,delta_sceaux,heure_th_antony,delta_antony,heure_th_bourg_la_reine,delta_bourg_la_reine,heure_th_chatelet,delta_chatelet,heure_th_aulnay,delta_aulnay,heure_th_cdg1,delta_cdg1,heure_th_vert_galant,delta_vert_galant
GONG47,Nord,,,,,,,2026-04-17 07:11:00+02:00,,,,,,,
EAST49,Nord,,,,,,,2026-04-17 07:14:00+02:00,3.0,2026-04-17 07:36:10+02:00,6.0,2026-04-17 07:50:00+02:00,6.0,,
IVAN51,Nord,,,,,,,2026-04-17 07:17:00+02:00,3.0,2026-04-17 07:39:20+02:00,3.0,,,2026-04-17 07:45:30+02:00,18.0
ELFE53,Nord,,,,,,,2026-04-17 07:20:00+02:00,3.0,2026-04-17 07:42:10+02:00,3.0,2026-04-17 07:56:00+02:00,6.0,,
GSOL55,Nord,,,,,,,2026-04-17 07:23:00+02:00,3.0,,,,,,
EMIR57,Nord,,,,,,,2026-04-17 07:26:00+02:00,3.0,2026-04-17 07:48:10+02:00,6.0,2026-04-17 08:02:00+02:00,6.0,,
IVAN59,Nord,,,,,,,2026-04-17 07:29:00+02:00,3.0,2026-04-17 07:51:20+02:00,3.0,,,2026-04-17 07:57:30+02:00,12.0
ELFE61,Nord,,,,,2026-04-17 07:11:06+02:00,,2026-04-17 07:32:00+02:00,3.0,2026-04-17 07:54:10+02:00,3.0,2026-04-17 08:08:00+02:00,6.0,,
GUAD63,Nord,,,,,2026-04-17 07:14:17+02:00,3.0,2026-04-17 07:35:00+02:00,3.0,,,,,,
EMIR65,Nord,,,2026-04-17 07:12:40+02:00,,2026-04-17 07:17:17+02:00,3.0,2026-04-17 07:38:00+02:00,3.0,2026-04-17 08:00:10+02:00,6.0,2026-04-17 08:14:00+02:00,6.0,,
IVAN67,Nord,,,2026-04-17 07:15:15+02:00,3.0,2026-04-17 07:20:07+02:00,3.0,2026-04-17 07:41:00+02:00,3.0,2026-04-17 08:03:20+02:00,3.0,,,2026-04-17 08:09:30+02:00,12.0
ELFE69,Nord,2026-04-17 07:20:48+02:00,,,,2026-04-17 07:23:06+02:00,3.0,2026-04-17 07:44:00+02:00,3.0,2026-04-17 08:06:10+02:00,3.0,2026-04-17 08:20:00+02:00,6.0,,
GUAD71,Nord,,,2026-04-17 07:20:39+02:00,5.0,2026-04-17 07:26:17+02:00,3.0,2026-04-17 07:47:00+02:00,3.0,,,,,,
EMIR73,Nord,,,2026-04-17 07:24:40+02:00,4.0,2026-04-17 07:29:17+02:00,3.0,2026-04-17 07:50:00+02:00,3.0,2026-04-17 08:12:10+02:00,6.0,2026-04-17 08:26:00+02:00,6.0,,
IVAN75,Nord,,,2026-04-17 07:27:15+02:00,3.0,2026-04-17 07:32:07+02:00,3.0,2026-04-17 07:53:00+02:00,3.0,2026-04-17 08:15:20+02:00,3.0,,,2026-04-17 08:21:30+02:00,12.0
ELFE77,Nord,2026-04-17 07:32:48+02:00,12.0,,,2026-04-17 07:35:06+02:00,3.0,2026-04-17 07:56:00+02:00,3.0,2026-04-17 08:18:10+02:00,3.0,2026-04-17 08:32:00+02:00,6.0,,
GUAD79,Nord,,,2026-04-17 07:32:39+02:00,5.0,2026-04-17 07:38:17+02:00,3.0,2026-04-17 07:59:00+02:00,3.0,,,,,,
EMIR81,Nord,,,2026-04-17 07:36:40+02:00,4.0,2026-04-17 07:41:17+02:00,3.0,2026-04-17 08:02:00+02:00,3.0,2026-04-17 08:24:10+02:00,6.0,2026-04-17 08:38:00+02:00,6.0,,
IVAN83,Nord,,,2026-04-17 07:39:15+02:00,3.0,2026-04-17 07:44:07+02:00,3.0,2026-04-17 08:05:00+02:00,3.0,2026-04-17 08:27:20+02:00,3.0,,,2026-04-17 08:33:30+02:00,12.0
ELFE85,Nord,2026-04-17 07:44:48+02:00,12.0,,,2026-04-17 07:47:06+02:00,3.0,2026-04-17 08:08:00+02:00,3.0,2026-04-17 08:30:10+02:00,3.0,2026-04-17 08:44:00+02:00,6.0,,
GUAD87,Nord,,,2026-04-17 07:44:39+02:00,5.0,2026-04-17 07:50:17+02:00,3.0,2026-04-17 08:11:00+02:00,3.0,,,,,,
EMIR89,Nord,,,2026-04-17 07:48:40+02:00,4.0,2026-04-17 07:53:17+02:00,3.0,2026-04-17 08:14:00+02:00,3.0,2026-04-17 08:36:10+02:00,6.0,2026-04-17 08:50:00+02:00,6.0,,
IVAN91,Nord,,,2026-04-17 07:51:15+02:00,3.0,2026-04-17 07:56:07+02:00,3.0,2026-04-17 08:17:00+02:00,3.0,2026-04-17 08:39:20+02:00,3.0,,,2026-04-17 08:45:30+02:00,12.0
ELFE93,Nord,2026-04-17 07:56:48+02:00,12.0,,,2026-04-17 07:59:06+02:00,3.0,2026-04-17 08:20:00+02:00,3.0,2026-04-17 08:42:10+02:00,3.0,2026-04-17 08:56:00+02:00,6.0,,
GUAD95,Nord,,,2026-04-17 07:56:39+02:00,5.0,2026-04-17 08:02:17+02:00,3.0,2026-04-17 08:23:00+02:00,3.0,,,,,,
EMIR97,Nord,,,2026-04-17 08:00:40+02:00,4.0,2026-04-17 08:05:17+02:00,3.0,2026-04-17 08:26:00+02:00,3.0,2026-04-17 08:48:10+02:00,6.0,2026-04-17 09:02:00+02:00,6.0,,
IVAN99,Nord,,,2026-04-17 08:03:15+02:00,3.0,2026-04-17 08:08:07+02:00,3.0,2026-04-17 08:29:00+02:00,3.0,2026-04-17 08:51:20+02:00,3.0,,,2026-04-17 08:57:30+02:00,12.0
ELOI01,Nord,2026-04-17 08:08:48+02:00,12.0,,,2026-04-17 08:11:06+02:00,3.0,2026-04-17 08:32:00+02:00,3.0,2026-04-17 08:54:10+02:00,3.0,2026-04-17 09:08:00+02:00,6.0,,
GUIZ03,Nord,,,2026-04-17 08:08:39+02:00,5.0,2026-04-17 08:14:17+02:00,3.0,2026-04-17 08:35:00+02:00,3.0,,,,,,
EMMY05,Nord,,,2026-04-17 08:12:40+02:00,4.0,2026-04-17 08:17:17+02:00,3.0,2026-04-17 08:38:00+02:00,3.0,2026-04-17 09:00:10+02:00,6.0,2026-04-17 09:14:00+02:00,6.0,,
IVIS07,Nord,,,2026-04-17 08:15:15+02:00,3.0,2026-04-17 08:20:07+02:00,3.0,2026-04-17 08:41:00+02:00,3.0,2026-04-17 09:03:20+02:00,3.0,,,2026-04-17 09:09:30+02:00,12.0
ELOI09,Nord,2026-04-17 08:20:48+02:00,12.0,,,2026-04-17 08:23:06+02:00,3.0,2026-04-17 08:44:00+02:00,3.0,2026-04-17 09:06:10+02:00,3.0,2026-04-17 09:20:00+02:00,6.0,,
GUIZ11,Nord,,,2026-04-17 08:20:39+02:00,5.0,2026-04-17 08:26:17+02:00,3.0,2026-04-17 08:47:00+02:00,3.0,,,,,,
EMMY13,Nord,,,2026-04-17 08:24:40+02:00,4.0,2026-04-17 08:29:17+02:00,3.0,2026-04-17 08:50:00+02:00,3.0,2026-04-17 09:12:10+02:00,6.0,2026-04-17 09:26:00+02:00,6.0,,
IVIS15,Nord,,,2026-04-17 08:27:15+02:00,3.0,2026-04-17 08:32:07+02:00,3.0,2026-04-17 08:53:00+02:00,3.0,2026-04-17 09:15:20+02:00,3.0,,,2026-04-17 09:21:30+02:00,12.0
ELOI17,Nord,2026-04-17 08:32:48+02:00,12.0,,,2026-04-17 08:35:06+02:00,3.0,2026-04-17 08:56:00+02:00,3.0,2026-04-17 09:18:10+02:00,3.0,2026-04-17 09:32:00+02:00,6.0,,
GUIZ19,Nord,,,2026-04-17 08:32:39+02:00,5.0,2026-04-17 08:38:17+02:00,3.0,2026-04-17 08:59:00+02:00,3.0,,,,,,
EMMY21,Nord,,,2026-04-17 08:36:40+02:00,4.0,2026-04-17 08:41:17+02:00,3.0,2026-04-17 09:02:00+02:00,3.0,2026-04-17 09:24:10+02:00,6.0,2026-04-17 09:38:00+02:00,6.0,,
IVIS23,Nord,,,2026-04-17 08:39:15+02:00,3.0,2026-04-17 08:44:07+02:00,3.0,2026-04-17 09:05:00+02:00,3.0,2026-04-17 09:27:20+02:00,3.0,,,2026-04-17 09:33:30+02:00,12.0
ELOI25,Nord,2026-04-17 08:44:48+02:00,12.0,,,2026-04-17 08:47:06+02:00,3.0,2026-04-17 09:08:00+02:00,3.0,2026-04-17 09:30:10+02:00,3.0,2026-04-17 09:44:00+02:00,6.0,,
GUIZ27,Nord,,,2026-04-17 08:44:39+02:00,5.0,2026-04-17 08:50:17+02:00,3.0,2026-04-17 09:11:00+02:00,3.0,,,,,,
EMMY29,Nord,,,2026-04-17 08:48:40+02:00,4.0,2026-04-17 08:53:17+02:00,3.0,2026-04-17 09:14:00+02:00,3.0,2026-04-17 09:36:10+02:00,6.0,2026-04-17 09:50:00+02:00,6.0,,
IVIS31,Nord,,,2026-04-17 08:51:15+02:00,3.0,2026-04-17 08:56:07+02:00,3.0,2026-04-17 09:17:00+02:00,3.0,2026-04-17 09:39:20+02:00,3.0,,,2026-04-17 09:45:30+02:00,12.0
ELOI33,Nord,2026-04-17 08:56:48+02:00,12.0,,,2026-04-17 08:59:06+02:00,3.0,2026-04-17 09:20:00+02:00,3.0,2026-04-17 09:42:10+02:00,3.0,2026-04-17 09:56:00+02:00,6.0,,
IRUS35,Nord,,,2026-04-17 08:56:39+02:00,5.0,2026-04-17 09:02:17+02:00,3.0,2026-04-17 09:23:00+02:00,3.0,2026-04-17 09:45:20+02:00,3.0,,,2026-04-17 09:51:30+02:00,6.0
EMMY37,Nord,,,2026-04-17 09:00:40+02:00,4.0,2026-04-17 09:05:17+02:00,3.0,2026-04-17 09:26:00+02:00,3.0,2026-04-17 09:48:10+02:00,3.0,2026-04-17 10:02:00+02:00,6.0,,
ELOI39,Nord,2026-04-17 09:08:48+02:00,12.0,,,2026-04-17 09:11:06+02:00,6.0,2026-04-17 09:32:00+02:00,6.0,2026-04-17 09:54:10+02:00,6.0,2026-04-17 10:08:00+02:00,6.0,,
IDOR41,Nord,,,2026-04-17 09:11:24+02:00,11.0,2026-04-17 09:17:17+02:00,6.0,2026-04-17 09:38:00+02:00,6.0,2026-04-17 10:00:20+02:00,6.0,,,2026-04-17 10:06:30+02:00,15.0
EPAF43,Nord,,,2026-04-17 09:20:19+02:00,9.0,2026-04-17 09:24:46+02:00,7.0,2026-04-17 09:41:00+02:00,3.0,2026-04-17 10:03:10+02:00,3.0,2026-04-17 10:16:50+02:00,9.0,,
EPAF49,Nord,,,2026-04-17 09:35:19+02:00,15.0,2026-04-17 09:39:46+02:00,15.0,2026-04-17 09:56:00+02:00,15.0,2026-04-17 10:18:10+02:00,15.0,2026-04-17 10:31:50+02:00,15.0,,
ELAN37,Nord,,,,,,,,,2026-04-17 07:12:10+02:00,,2026-04-17 07:26:00+02:00,6.0,,
GEDO43,Nord,,,,,,,,,,,,,,
ECCO33,Nord,,,,,,,,,,,2026-04-17 07:20:00+02:00,6.0,,
ECCO45,Nord,,,,,,,,,2026-04-17 07:30:10+02:00,9.0,2026-04-17 07:44:00+02:00,12.0,,
ICAR35,Nord,,,,,,,,,,,,,2026-04-17 07:12:30+02:00,
ISOL41,Nord,,,,,,,,,2026-04-17 07:21:20+02:00,3.0,,,2026-04-17 07:27:30+02:00,15.0
ECCO39,Nord,,,,,,,,,2026-04-17 07:18:10+02:00,6.0,2026-04-17 07:32:00+02:00,6.0,,
ELAN31,Nord,,,,,,,,,,,2026-04-17 07:14:00+02:00,,,
KLEE44,Sud,,,2026-04-17 07:38:35+02:00,4.0,2026-04-17 07:32:54+02:00,3.0,2026-04-17 07:11:47+02:00,,,,,,,
STIN46,Sud,2026-04-17 07:37:46+02:00,10.0,,,2026-04-17 07:35:49+02:00,3.0,2026-04-17 07:14:47+02:00,3.0,,,,,,
PAUL48,Sud,,,2026-04-17 07:43:34+02:00,5.0,2026-04-17 07:38:44+02:00,3.0,2026-04-17 07:17:47+02:00,3.0,,,,,,
LORE50,Sud,,,2026-04-17 07:46:44+02:00,3.0,2026-04-17 07:41:54+02:00,3.0,2026-04-17 07:20:47+02:00,3.0,,,,,,
KLEE52,Sud,,,2026-04-17 07:50:35+02:00,4.0,2026-04-17 07:44:54+02:00,3.0,2026-04-17 07:23:47+02:00,3.0,,,,,,
STIN54,Sud,2026-04-17 07:49:46+02:00,12.0,,,2026-04-17 07:47:49+02:00,3.0,2026-04-17 07:26:47+02:00,3.0,,,,,,
PAUL56,Sud,,,2026-04-17 07:55:34+02:00,5.0,2026-04-17 07:50:44+02:00,3.0,2026-04-17 07:29:47+02:00,3.0,2026-04-17 07:06:50+02:00,,,,,
LORE58,Sud,,,2026-04-17 07:58:44+02:00,3.0,2026-04-17 07:53:54+02:00,3.0,2026-04-17 07:32:47+02:00,3.0,2026-04-17 07:09:50+02:00,3.0,,,,
KLEE60,Sud,,,2026-04-17 08:02:35+02:00,4.0,2026-04-17 07:56:54+02:00,3.0,2026-04-17 07:35:47+02:00,3.0,2026-04-17 07:12:50+02:00,3.0,,,2026-04-17 07:06:00+02:00,
STIN62,Sud,2026-04-17 08:01:46+02:00,12.0,,,2026-04-17 07:59:49+02:00,3.0,2026-04-17 07:38:47+02:00,3.0,2026-04-17 07:15:50+02:00,3.0,,,,
PAUL64,Sud,,,2026-04-17 08:07:34+02:00,5.0,2026-04-17 08:02:44+02:00,3.0,2026-04-17 07:41:47+02:00,3.0,2026-04-17 07:18:50+02:00,3.0,,,2026-04-17 07:12:00+02:00,6.0
LORE66,Sud,,,2026-04-17 08:10:44+02:00,3.0,2026-04-17 08:05:54+02:00,3.0,2026-04-17 07:44:47+02:00,3.0,2026-04-17 07:21:50+02:00,3.0,,,,
STIN70,Sud,2026-04-17 08:13:46+02:00,12.0,,,2026-04-17 08:11:49+02:00,6.0,2026-04-17 07:50:47+02:00,6.0,2026-04-17 07:27:50+02:00,6.0,2026-04-17 07:14:00+02:00,,,
PAUL72,Sud,,,2026-04-17 08:19:34+02:00,9.0,2026-04-17 08:14:44+02:00,3.0,2026-04-17 07:53:47+02:00,3.0,2026-04-17 07:30:50+02:00,3.0,,,2026-04-17 07:24:00+02:00,12.0
LORE74,Sud,,,2026-04-17 08:22:44+02:00,3.0,2026-04-17 08:17:54+02:00,3.0,2026-04-17 07:56:47+02:00,3.0,2026-04-17 07:33:50+02:00,3.0,2026-04-17 07:20:00+02:00,6.0,,
KLEE76,Sud,,,2026-04-17 08:26:35+02:00,4.0,2026-04-17 08:20:54+02:00,3.0,2026-04-17 07:59:47+02:00,3.0,2026-04-17 07:36:50+02:00,3.0,,,2026-04-17 07:30:00+02:00,6.0
STIN78,Sud,2026-04-17 08:25:46+02:00,12.0,,,2026-04-17 08:23:49+02:00,3.0,2026-04-17 08:02:47+02:00,3.0,2026-04-17 07:39:50+02:00,3.0,2026-04-17 07:26:00+02:00,6.0,,
PAUL80,Sud,,,2026-04-17 08:31:34+02:00,5.0,2026-04-17 08:26:44+02:00,3.0,2026-04-17 08:05:47+02:00,3.0,2026-04-17 07:42:50+02:00,3.0,,,2026-04-17 07:36:00+02:00,6.0
LORE82,Sud,,,2026-04-17 08:34:44+02:00,3.0,2026-04-17 08:29:54+02:00,3.0,2026-04-17 08:08:47+02:00,3.0,2026-04-17 07:45:50+02:00,3.0,2026-04-17 07:32:00+02:00,6.0,,
KLEE84,Sud,,,2026-04-17 08:38:35+02:00,4.0,2026-04-17 08:32:54+02:00,3.0,2026-04-17 08:11:47+02:00,3.0,2026-04-17 07:48:50+02:00,3.0,,,2026-04-17 07:42:00+02:00,6.0
STIN86,Sud,2026-04-17 08:37:46+02:00,12.0,,,2026-04-17 08:35:49+02:00,3.0,2026-04-17 08:14:47+02:00,3.0,2026-04-17 07:51:50+02:00,3.0,2026-04-17 07:38:00+02:00,6.0,,
PAUL88,Sud,,,2026-04-17 08:43:34+02:00,5.0,2026-04-17 08:38:44+02:00,3.0,2026-04-17 08:17:47+02:00,3.0,2026-04-17 07:54:50+02:00,3.0,,,2026-04-17 07:48:00+02:00,6.0
LORE90,Sud,,,2026-04-17 08:46:44+02:00,3.0,2026-04-17 08:41:54+02:00,3.0,2026-04-17 08:20:47+02:00,3.0,2026-04-17 07:57:50+02:00,3.0,2026-04-17 07:44:00+02:00,6.0,,
KLEE92,Sud,,,2026-04-17 08:50:35+02:00,4.0,2026-04-17 08:44:54+02:00,3.0,2026-04-17 08:23:47+02:00,3.0,2026-04-17 08:00:50+02:00,3.0,,,2026-04-17 07:54:00+02:00,6.0
STIN94,Sud,2026-04-17 08:49:46+02:00,12.0,,,2026-04-17 08:47:49+02:00,3.0,2026-04-17 08:26:47+02:00,3.0,2026-04-17 08:03:50+02:00,3.0,2026-04-17 07:50:00+02:00,6.0,,
PAUL96,Sud,,,2026-04-17 08:55:34+02:00,5.0,2026-04-17 08:50:44+02:00,3.0,2026-04-17 08:29:47+02:00,3.0,2026-04-17 08:06:50+02:00,3.0,,,2026-04-17 08:00:00+02:00,6.0
LORE98,Sud,,,2026-04-17 08:58:44+02:00,3.0,2026-04-17 08:53:54+02:00,3.0,2026-04-17 08:32:47+02:00,3.0,2026-04-17 08:09:50+02:00,3.0,2026-04-17 07:56:00+02:00,6.0,,
KLAC02,Sud,,,2026-04-17 09:02:35+02:00,4.0,2026-04-17 08:56:54+02:00,3.0,2026-04-17 08:35:47+02:00,3.0,2026-04-17 08:12:50+02:00,3.0,,,2026-04-17 08:06:00+02:00,6.0
STRI04,Sud,2026-04-17 09:01:46+02:00,12.0,,,2026-04-17 08:59:49+02:00,3.0,2026-04-17 08:38:47+02:00,3.0,2026-04-17 08:15:50+02:00,3.0,2026-04-17 08:02:00+02:00,6.0,,
PAGE06,Sud,,,2026-04-17 09:07:34+02:00,5.0,2026-04-17 09:02:44+02:00,3.0,2026-04-17 08:41:47+02:00,3.0,2026-04-17 08:18:50+02:00,3.0,,,2026-04-17 08:12:00+02:00,6.0
LORD08,Sud,,,2026-04-17 09:10:44+02:00,3.0,2026-04-17 09:05:54+02:00,3.0,2026-04-17 08:44:47+02:00,3.0,2026-04-17 08:21:50+02:00,3.0,2026-04-17 08:08:00+02:00,6.0,,
KLAC10,Sud,,,2026-04-17 09:14:35+02:00,4.0,2026-04-17 09:08:54+02:00,3.0,2026-04-17 08:47:47+02:00,3.0,2026-04-17 08:24:50+02:00,3.0,,,2026-04-17 08:18:00+02:00,6.0
STRI12,Sud,2026-04-17 09:13:46+02:00,12.0,,,2026-04-17 09:11:49+02:00,3.0,2026-04-17 08:50:47+02:00,3.0,2026-04-17 08:27:50+02:00,3.0,2026-04-17 08:14:00+02:00,6.0,,
PAGE14,Sud,,,2026-04-17 09:19:34+02:00,5.0,2026-04-17 09:14:44+02:00,3.0,2026-04-17 08:53:47+02:00,3.0,2026-04-17 08:30:50+02:00,3.0,,,2026-04-17 08:24:00+02:00,6.0
LORD16,Sud,,,2026-04-17 09:22:44+02:00,3.0,2026-04-17 09:17:54+02:00,3.0,2026-04-17 08:56:47+02:00,3.0,2026-04-17 08:33:50+02:00,3.0,2026-04-17 08:20:00+02:00,6.0,,
KLAC18,Sud,,,2026-04-17 09:26:35+02:00,4.0,2026-04-17 09:20:54+02:00,3.0,2026-04-17 08:59:47+02:00,3.0,2026-04-17 08:36:50+02:00,3.0,,,2026-04-17 08:30:00+02:00,6.0
STRI20,Sud,2026-04-17 09:25:46+02:00,12.0,,,2026-04-17 09:23:49+02:00,3.0,2026-04-17 09:02:47+02:00,3.0,2026-04-17 08:39:50+02:00,3.0,2026-04-17 08:26:00+02:00,6.0,,
PPIT22,Sud,,,2026-04-17 09:31:44+02:00,5.0,2026-04-17 09:26:54+02:00,3.0,2026-04-17 09:05:47+02:00,3.0,2026-04-17 08:42:50+02:00,3.0,,,2026-04-17 08:36:00+02:00,6.0
USER24,Sud,,,,,,,2026-04-17 09:08:47+02:00,3.0,2026-04-17 08:45:50+02:00,3.0,2026-04-17 08:32:00+02:00,6.0,,
KFON26,Sud,,,2026-04-17 09:37:40+02:00,6.0,2026-04-17 09:32:09+02:00,5.0,2026-04-17 09:11:47+02:00,3.0,2026-04-17 08:48:50+02:00,3.0,,,2026-04-17 08:42:00+02:00,6.0
USER28,Sud,,,,,,,2026-04-17 09:14:47+02:00,3.0,2026-04-17 08:51:50+02:00,3.0,2026-04-17 08:38:00+02:00,6.0,,
SORI30,Sud,2026-04-17 09:40:46+02:00,15.0,,,2026-04-17 09:38:49+02:00,7.0,2026-04-17 09:17:47+02:00,3.0,2026-04-17 08:54:50+02:00,3.0,,,2026-04-17 08:48:00+02:00,6.0
USER32,Sud,,,,,,,2026-04-17 09:20:47+02:00,3.0,2026-04-17 08:57:50+02:00,3.0,2026-04-17 08:44:00+02:00,6.0,,
PLAC34,Sud,,,2026-04-17 09:44:37+02:00,7.0,2026-04-17 09:40:02+02:00,1.0,2026-04-17 09:23:47+02:00,3.0,2026-04-17 09:00:50+02:00,3.0,,,2026-04-17 08:54:00+02:00,6.0
KOCQ36,Sud,,,2026-04-17 09:52:40+02:00,8.0,2026-04-17 09:47:09+02:00,7.0,2026-04-17 09:26:47+02:00,3.0,2026-04-17 09:03:50+02:00,3.0,2026-04-17 08:50:00+02:00,6.0,,
ULMS38,Sud,,,,,,,2026-04-17 09:29:47+02:00,3.0,2026-04-17 09:06:50+02:00,3.0,2026-04-17 08:55:40+02:00,6.0,,
SORI40,Sud,2026-04-17 09:55:46+02:00,15.0,,,2026-04-17 09:53:49+02:00,7.0,2026-04-17 09:32:47+02:00,3.0,2026-04-17 09:10:00+02:00,3.0,,,2026-04-17 09:03:00+02:00,9.0
PIER42,Sud,,,2026-04-17 09:59:37+02:00,7.0,2026-04-17 09:55:02+02:00,1.0,2026-04-17 09:38:47+02:00,6.0,2026-04-17 09:15:50+02:00,6.0,2026-04-17 09:02:00+02:00,6.0,,
KARI44,Sud,,,2026-04-17 10:07:10+02:00,8.0,2026-04-17 10:01:54+02:00,7.0,2026-04-17 09:41:47+02:00,3.0,2026-04-17 09:19:50+02:00,4.0,2026-04-17 09:07:40+02:00,6.0,,
PIER48,Sud,,,2026-04-17 10:14:37+02:00,7.0,2026-04-17 10:10:02+02:00,8.0,2026-04-17 09:53:47+02:00,12.0,2026-04-17 09:30:50+02:00,11.0,2026-04-17 09:14:40+02:00,7.0,,
SOSI40,Sud,2026-04-17 07:27:51+02:00,15.0,,,2026-04-17 07:25:59+02:00,5.0,,,,,,,,
KOCQ32,Sud,,,2026-04-17 07:10:10+02:00,,,,,,,,,,,
PROC30,Sud,,,,,,,,,,,,,,
PROC12,Sud,,,,,,,,,,,,,,
PROC24,Sud,,,,,,,,,,,,,,
PLIC36,Sud,,,2026-04-17 07:16:22+02:00,6.0,2026-04-17 07:12:12+02:00,1.0,,,,,,,,
PUMA38,Sud,,,2026-04-17 07:26:25+02:00,10.0,2026-04-17 07:20:44+02:00,9.0,,,,,,,,
LORE42,Sud,,,2026-04-17 07:34:44+02:00,8.0,2026-04-17 07:29:54+02:00,4.0,,,,,,,,
SOSI34,Sud,2026-04-17 07:12:51+02:00,,,,2026-04-17 07:10:59+02:00,,,,,,,,,
